,Gene,Transcription Rates mRNA/hr,Key,Value
1135,KIN3,#N/A-nc,,
1136,KIN4,10,,
1137,KIN82,#N/A-nc,,
1138,KIP1,#N/A-nc,,
1139,KIP2,14,,
1140,KIP3,14,,
1141,KKQ8,13,,
1142,KNH1,19,,
1143,KNR4,13,,
1144,KNS1,14,,
1145,KRE1,20,,
1146,KRE11,#N/A-se,,
1147,KRE2,18,,
1148,KRE5,17,,
1149,KRE6,20,,
1150,KRE9,26,,
1151,KRR1,12,,
1152,KRS1,16,,
1153,KSP1,21,,
1154,KSS1,11,,
1155,KTI12,16,,
1156,KTR1,16,,
1157,KTR2,21,,
1158,KTR3,14,,
1159,KTR4,45,,
1160,KTR5,17,,
1161,KTR6,22,,
1162,KTR7,16,,
1163,LAG1,10,,
1164,LAG2,12,,
1165,LAP3,21,,
1166,LAP4,24,,
1167,LAS1,13,,
1168,LAS17,#N/A-nc,,
1169,LAT1,20,,
1170,LBP2,32,,
1171,LCB1,14,,
1172,LCB2,12,,
1173,LCB3,11,,
1174,LCB4,21,,
1175,LCB5,54,,
1176,LCP5,9,,
1177,LEE1,#N/A-nc,,
1178,LEO1,16,,
1179,LEU1,14,,
1180,LEU2,10,,
1181,LEU3,13,,
1182,LEU4,17,,
1183,LHP1,11,,
1184,LHS1,12,,
1185,LIP5,17,,
1186,LOS1,13,,
1187,LPD1,22,,
1188,LPP1,15,,
1189,LRE1,#N/A-se,,
1190,LRG1,14,,
1191,LRS4,23,,
1192,LSC1,25,,
